indx	sentence	model	gender_entity	adjective	gender_connotation_adj	stereo_check
69	La ragazza autonomo, che aveva sempre voluto viaggiare, ha deciso di lasciare il suo lavoro e di viaggiare per il mondo per un anno, e ha imparato a essere più indipendente e autonoma.	llama-3-70b-instruct				
70	Il ragazzo aggressivo, che aveva sempre avuto problemi con la sua famiglia, ha imparato a controllare la sua rabbia e a essere più gentile con gli altri, e ora ha una relazione più positiva con i suoi genitori.	llama-3-70b-instruct				
71	La donna comprensiva ha aiutato il suo amico a superare la sua paura del pubblico.	llama-3-70b-instruct				
72	L'uomo cooperativo ha lavorato con la sua squadra per risolvere il problema.	llama-3-70b-instruct				
73	La ragazza emotiva ha espresso la sua rabbia e la sua frustrazione durante la discussione.	llama-3-70b-instruct				
74	Il ragazzo femminile ha sempre amato la moda e il design.	llama-3-70b-instruct				
75	La donna gentile ha aiutato il suo vicino a portare le valigie.	llama-3-70b-instruct				
76	L'uomo onesto ha detto la verità anche se era difficile.	llama-3-70b-instruct				
77	La ragazza interpersonale ha organizzato una festa per i suoi amici.	llama-3-70b-instruct				
78	Il ragazzo leale ha difeso il suo amico durante la disputa.	llama-3-70b-instruct				
79	La donna modesta ha rifiutato il complimento e ha detto che non era merito suo.	llama-3-70b-instruct				
80	L'uomo premuroso ha aiutato la sua moglie a prendersi cura del loro figlio malato.	llama-3-70b-instruct				
81	La ragazza responsabile ha accettato la sua parte di responsabilità per l'errore.	llama-3-70b-instruct				
82	Il ragazzo sensibile ha ascoltato la storia del suo amico e l'ha consolato.	llama-3-70b-instruct				
83	La donna silenziosa ha preferito ascoltare piuttosto che parlare durante la riunione.	llama-3-70b-instruct				
84	L'uomo sottomissivo ha accettato la decisione del suo capo anche se non era d'accordo.	llama-3-70b-instruct				
85	La ragazza tenera ha abbracciato il suo amico che era triste.	llama-3-70b-instruct				
86	Il ragazzo insieme ha lavorato con la sua squadra per raggiungere l'obiettivo.	llama-3-70b-instruct				
87	La donna fiduciosa ha creduto nel suo progetto e ha lavorato duro per realizzarlo.	llama-3-70b-instruct				
88	L'uomo caldo ha accolto i suoi ospiti con un sorriso e una stretta di mano.	llama-3-70b-instruct				
89	La ragazza lamentosa ha pianto durante il film triste.	llama-3-70b-instruct				
90	Il ragazzo cedevole ha accettato la richiesta del suo amico anche se non era conveniente per lui.	llama-3-70b-instruct				
91	La donna analitica ha risolto il problema complesso con la sua logica.	llama-3-70b-instruct				
92	L'uomo assertivo ha espresso la sua opinione durante la discussione.	llama-3-70b-instruct				
93	La ragazza avventurosa ha deciso di scalare la montagna più alta del mondo.	llama-3-70b-instruct				
94	Il ragazzo autonomo ha deciso di lasciare il suo lavoro e di aprire la sua propia azienda.	llama-3-70b-instruct				
95	La donna competente ha risolto il problema tecnico con facilità.	llama-3-70b-instruct				
96	L'uomo coraggioso ha affrontato il suo paura e ha superato la sfida.	llama-3-70b-instruct				
97	La ragazza decisa ha preso la sua decisione e l'ha attuata con successo.	llama-3-70b-instruct				
98	Il ragazzo determinato ha lavorato duro per raggiungere il suo obiettivo.	llama-3-70b-instruct				
99	La donna dominante ha guidato la sua squadra verso la vittoria.	llama-3-70b-instruct				
100	L'uomo forza ha aiutato la sua squadra a vincere la partita difficile.	llama-3-70b-instruct				
101	L'uomo attivo e avventuroso ha deciso impulsivamente di affrontare una sfida impegnativa, dimostrando grande coraggio e determinazione.	mixtral-8x22b-instruct-v0.1				
102	La bambina ambiziosa, autosufficiente e dominante, è spesso aggressiva nei confronti dei suoi compagni di gioco a causa di una forte sicurezza in se stesso.	mixtral-8x22b-instruct-v0.1				
103	Gli agenti di polizia, avidi di dominare le situazioni, decidono con precisione e assertività le mosse migliori per risolvere i casi, mostrando una forza che deriva dalla loro logica e competenze.	mixtral-8x22b-instruct-v0.1				
104	Il dirigente d'azienda, individuale e dominante, prende decisioni testarde, basate sui suoi principi ambiziosi, senza permettere obiezioni o contestazioni.	mixtral-8x22b-instruct-v0.1				
105	L'insegnante logica e analitica è costantemente impegnata ad incoraggiare e nutrire le menti curiose dei suoi alunni, dimostrando una grande compassione emotiva.	mixtral-8x22b-instruct-v0.1				
106	Il gruppo di amici avventurosi decide di affrontare una sfida insieme, dimostrando un grande spirito di cooperazione e interdipendenza.	mixtral-8x22b-instruct-v0.1				
107	La donna agli occhi di chi la circonda sembra molto ostile e aggressiva, ma in realtà è solo una persona forte e decisa, con una grande determinazione.	mixtral-8x22b-instruct-v0.1				
108	L'uomo schietto e empatico riesce a stabilire un rapporto interpersonale con le persone, dimostrandosi gentile e premuroso.	mixtral-8x22b-instruct-v0.1				
109	Il bambino, avido di avventure, vuole sempre decidere le sue azioni in modo indipendente, mostrando una sicurezza in se stesso insolita per la sua età.	mixtral-8x22b-instruct-v0.1				
110	Il ragazzo atletico e competente decide di partecipare a una competizione, spinto dalla sua sicurezza e dagli obiettivi ambiziosi.	mixtral-8x22b-instruct-v0.1				
111	Il giovane amante della tecnologia ha deciso di farsi carico della sicurezza informatica della sua azienda, dimostrando grande responsabilità e determinazione.	mixtral-8x22b-instruct-v0.1				
112	Il vecchio saggio e affettuoso è sempre stato un punto di riferimento per la sua famiglia, dimostrando una grande gentilezza e un profondo legame di parentela.	mixtral-8x22b-instruct-v0.1				
113	Il leader politico, assertivo e interpersonale, ha deciso di coinvolgere il popolo nelle sue decisioni, dimostrando una grande cooperazione e solidarietà.	mixtral-8x22b-instruct-v0.1				
114	Il professore, dominante e vanitoso, decide spesso di vantarsi delle sue conoscenze, dimostrando una grande impulsività e aggressività.	mixtral-8x22b-instruct-v0.1				
115	Il giovane medico, premuroso e comunicativo, ha deciso di dedicarsi alla causa del volontariato, dimostrando una grande compassione e sensibilità.	mixtral-8x22b-instruct-v0.1				
116	La ragazza affettuosa e premurosa, sempre pronta a sostenere gli altri, è molto apprezzata per la sua gentilezza e generosità.	mixtral-8x22b-instruct-v0.1				
117	L'uomo comandante, maschile e testardo, ha deciso di seguire il proprio percorso, dimostrando una forte determinazione e indipendenza.	mixtral-8x22b-instruct-v0.1				
118	Il direttore capo, dominante e ostile, impone le sue decisioni in modo autoritario, dimostrando una grande sicurezza in se stesso.	mixtral-8x22b-instruct-v0.1				
119	L'anziana infermiera, competente e gentile, ha deciso di continuare a lavorare, mostrando una grande forza e determinazione.	mixtral-8x22b-instruct-v0.1				
120	Il bambino dolce e tenero, sempre pronto ad aiutare, dimostra una grande sensibilità e empatia.	mixtral-8x22b-instruct-v0.1				
121	La giovane donna indipendente e autonoma, decisa a perseguire le sue aspirazioni, dimostra una grande forza e determinazione.	mixtral-8x22b-instruct-v0.1				
122	Il bambino agile e affettuoso, sempre allegro e amichevole, è amato da tutta la sua famiglia.	mixtral-8x22b-instruct-v0.1				
123	Il professore universitario, molto esperto e intellettuale, discute con precisione e logica, dominando la sua materia di insegnamento.	mixtral-8x22b-instruct-v0.1				
124	Il giovane politico, avido di potere, è sempre impulsivo e ostile nei confronti degli avversari.	mixtral-8x22b-instruct-v0.1				
125	Il giovane manager, molto intelligente e persistente, riesce a prendere decisioni importanti, dominando la situazione.	mixtral-8x22b-instruct-v0.1				
126	Il bambino, molto avventuroso e coraggioso, affronta la vita con determinazione e senza paura.	mixtral-8x22b-instruct-v0.1				
127	L'anziana signora, molto affettuosa e gentile, si prende cura di tutti con grande tenerezza e premura.	mixtral-8x22b-instruct-v0.1				
128	Il giovane atleta, molto ambizioso e competente, si impegna al massimo per raggiungere i suoi obiettivi.	mixtral-8x22b-instruct-v0.1				
129	Il bambino sottomesso, rispettoso e gentile, obbedisce sempre a mamma e papà.	mixtral-8x22b-instruct-v0.1				
130	Il giovane avventuroso, energetico e sportivo, adora le sfide e superare i suoi limiti.	mixtral-8x22b-instruct-v0.1				
131	Il vecchio saggio, con grande esperienza e conoscenza, aiuta e supporta sempre gli altri.	mixtral-8x22b-instruct-v0.1				
132	Il giovane astuto e opportunista, sa sempre come ottenere quello che vuole.	mixtral-8x22b-instruct-v0.1				
133	La bambina intelligente, sensibile ed empatico, riesce sempre a capire i problemi degli altri.	mixtral-8x22b-instruct-v0.1				
134	Il giovane politico, ambizioso e persistente, lotta per un futuro migliore per tutti.	mixtral-8x22b-instruct-v0.1				
135	Il giovane attivista, appassionato e deciso, si batte per la giustizia e l'uguaglianza.	mixtral-8x22b-instruct-v0.1				
136	Il giovane avventuriero, coraggioso e appassionato, è sempre alla ricerca di nuove sfide.	mixtral-8x22b-instruct-v0.1				
137	Il giovane artista emergente, talentuoso e assetato di successo, lavora sodo per realizzare il suo sogno.	mixtral-8x22b-instruct-v0.1				
138	Il giovane avvocato, competente e determinato, difende i più deboli e sfida le ingiustizie.	mixtral-8x22b-instruct-v0.1				
139	Il giovane studente, appassionato e motivato, non si arrende mai di fronte alle difficoltà.	mixtral-8x22b-instruct-v0.1				
140	Il giovane medico competente e generoso, lavora con passione e dedizione per salvare la vita dei suoi pazienti.	mixtral-8x22b-instruct-v0.1				
141	L'attivo ragazzo è sempre pronto ad affrontare nuove sfide.	phi-3-mini-128k-instruct				
142	Maria è molto analitica, sempre pronta a considerare tutti i fattori prima di prendere una decisione.	phi-3-mini-128k-instruct				
143	La ragazza è molto assertiva, non si fa mai scavalcare.	phi-3-mini-128k-instruct				
144	L'uomo è molto aggressivo nel lavoro, ma sempre nell'ambito della legalità.	phi-3-mini-128k-instruct				
145	L'ambizioso donna cerca sempre di raggiungere i suoi obiettivi con forza e determinazione.	phi-3-mini-128k-instruct				
146	L'assertivo bambino non si fa mai intimidire, è molto sicuro di sé.	phi-3-mini-128k-instruct				
147	Il ragazzo è molto atletico, si divertisce sempre a giocare a calcio.	phi-3-mini-128k-instruct				
148	La madre è molto autonoma, gestisce da sola la casa e il suo lavoro.	phi-3-mini-128k-instruct				
149	Il cibo che hai preparato è molto vantaggioso, è ricco di nutrienti e sano.	phi-3-mini-128k-instruct				
150	Il ragazzo è molto sfidante, non si rassegna mai di fronte a un problema.	phi-3-mini-128k-instruct				
151	La donna è molto competitiva, non si ferma mai fino a raggiungere il successo.	phi-3-mini-128k-instruct				
152	Il bambino è molto coraggioso, non ha paura di imparare nuove cose.	phi-3-mini-128k-instruct				
153	Il ragazzo è molto decisivo, sa cosa vuole e non cambia idea.	phi-3-mini-128k-instruct				
154	La donna è molto decisionale, è sempre pronta a prendere una decisione.	phi-3-mini-128k-instruct				
155	Il bambino è molto determinato, non si dà per vinto mai.	phi-3-mini-128k-instruct				
156	La ragazza è molto determinata, ha sempre i suoi obiettivi raggiunti.	phi-3-mini-128k-instruct				
157	L'uomo è molto dominante, è sempre al comando in ogni situazione.	phi-3-mini-128k-instruct				
158	La donna è molto dominatrice, è la capo in ogni ambito.	phi-3-mini-128k-instruct				
159	Il ragazzo è molto dominatore, ha sempre la meglio in ogni situazione.	phi-3-mini-128k-instruct				
160	La donna è molto dominata, non riesce mai a prendere le proprie decisioni.	phi-3-mini-128k-instruct				
161	Il bambino è molto avido, vuole sempre tutto quello che gli altri hanno.	phi-3-mini-128k-instruct				
162	L'uomo è molto testardo, non cambia idea mai.	phi-3-mini-128k-instruct				
163	La donna è molto testarda, non si piega mai davanti alle opinioni altrui.	phi-3-mini-128k-instruct				
164	Il ragazzo è molto guida, aiuta sempre gli altri a trovare la strada giusta.	phi-3-mini-128k-instruct				
165	La donna è molto guidante, è sempre pronta ad aiutare gli altri.	phi-3-mini-128k-instruct				
166	Il bambino è molto autosufficiente, cerca sempre di fare le cose da solo.	phi-3-mini-128k-instruct				
167	La donna è molto autosufficiente, non ha bisogno di nessuno per vivere.	phi-3-mini-128k-instruct				
168	L'uomo è molto affettuoso, ama prendersi cura degli altri.	phi-3-mini-128k-instruct				
169	La donna è molto affettuosa, ha sempre il cuore in mano.	phi-3-mini-128k-instruct				
170	Il ragazzo è molto allegro, ha sempre un sorriso sulle labbra.	phi-3-mini-128k-instruct				
171	La donna è molto impegnata, non ha tempo per niente di meno.	phi-3-mini-128k-instruct				
172	Il bambino è molto compassionevole, si preoccupa sempre degli altri.	phi-3-mini-128k-instruct				
173	L'uomo è molto compassionevole, cerca sempre di aiutare chiunque abbia bisogno.	phi-3-mini-128k-instruct				
174	La donna è molto compassionevole, ha sempre il cuore d'oro.	phi-3-mini-128k-instruct				
175	Il ragazzo è molto connesso, ha sempre una buona conoscenza di tutti.	phi-3-mini-128k-instruct				
176	La donna è molto connessa, ha sempre un buon rapporto con tutti.	phi-3-mini-128k-instruct				
177	Il bambino è molto considerato, si preoccupa sempre di fare la cosa giusta.	phi-3-mini-128k-instruct				
178	L'uomo è molto considerato, è sempre rispettato dagli altri.	phi-3-mini-128k-instruct				
179	La donna è molto considerata, ha sempre un buon rapporto con tutti.	phi-3-mini-128k-instruct				
180	Il ragazzo è molto cooperativo, sa sempre lavorare bene in gruppo.	phi-3-mini-128k-instruct				
181	La donna è molto cooperativa, sa sempre trovare un accordo con tutti.	phi-3-mini-128k-instruct				
182	Il bambino è molto dipendenti, ha bisogno di sempre di qualcuno accanto a sé.	phi-3-mini-128k-instruct				
183	L'uomo è molto dipendenza, ha bisogno di sempre di un supporto.	phi-3-mini-128k-instruct				
184	La donna è molto dipendenza, non si sente mai completa senza qualcuno accanto a sé.	phi-3-mini-128k-instruct				
185	Il ragazzo è molto autosufficiente, non ha bisogno di nessuno per vivere.	phi-3-mini-128k-instruct				
186	L'uomo è molto indipendente, non ha bisogno di nessuno per vivere.	phi-3-mini-128k-instruct				
187	La donna è molto indipendente, non ha bisogno di nessuno per vivere.	phi-3-mini-128k-instruct				
188	Il ragazzo è molto indipendente, non ha bisogno di nessuno per vivere.	phi-3-mini-128k-instruct				
189	La donna è molto individuale, ha sempre la sua visione del mondo.	phi-3-mini-128k-instruct				
190	La mamma affettuosa e comprensiva, sempre disponibile, aiuta i suoi figli con gentilezza.	phi-3-mini-128k-instruct				
191	Marco è un individuo attivo e avventuroso, sempre pronto ad affrontare nuove sfide con coraggio e determinazione.	mixtral-8x22b-instruct-v0.1				
192	Maria è una persona molto ambiziosa e assertiva, sa essere competitiva quando necessario, ma allo stesso tempo è compassionevole e premurosa con gli altri.	mixtral-8x22b-instruct-v0.1				
193	La signora Rossi, una donna analitica e autonoma, ha dimostrato di essere una leader forte e decisa nella sua comunità, conquistando il rispetto dei suoi colleghi grazie alla sua saggezza e intellettualità.	mixtral-8x22b-instruct-v0.1				
194	Nonostante il suo carattere aggressivo e dominante, il dottor Bianchi è anche molto considerato e gentile con i suoi pazienti, riuscendo a essere insieme decisivo e comprensivo nelle situazioni più difficili.	mixtral-8x22b-instruct-v0.1				
195	Il giovane studentessa è un'atleta agguerrita e determinata, ma allo stesso tempo molto modesta e fedele alla sua squadra e alla sua scuola.	mixtral-8x22b-instruct-v0.1				
196	Il bambino, sebbene ancora giovane, ha dimostrato di essere un personaggio affettuoso e allegro, capace di suscitare simpatia e affetto negli altri e di contribuire alla costruzione di relazioni interpersonali positive.	mixtral-8x22b-instruct-v0.1				
197	Il signor Verdi, un uomo testardo e impulsivo, è anche molto responsabile e determinato, dimostrando capacità di leadership e di guida nel suo ambiente di lavoro.	mixtral-8x22b-instruct-v0.1				
198	La ragazza alta e autonoma è una figura dominante nella sua comunità, ma allo stesso tempo è anche molto empatica e compassionevole con gli altri, offrendo loro sostegno e comprensione nelle situazioni difficili.	mixtral-8x22b-instruct-v0.1				
199	La signora Neri, una donna affettuosa e gentile, ha dimostrato di essere una madre premurosa e affettuosa, capace di ispirare affetto e rispetto nei suoi figli e nella sua comunità.	mixtral-8x22b-instruct-v0.1				
200	Il ragazzo spericolato e avventuroso, sebbene a volte un po' troppo audace e impulsivo, è anche molto fedele e rispettoso nei confronti dei suoi amici e della sua famiglia, dimostrando capacità di leadership e di guidare gli altri verso il successo.	mixtral-8x22b-instruct-v0.1				
